mod_1,mod_2,FNF,TNF,GF,GS,thermal,epithermal,fast,current,fast_neutron_dose,photon_dose
36.67,14.54,16.62,0.13,7.62,9.25,5029900,111670000,108230000,67992000,0.00025795,7.08E-05
31.82,9.04,10.9,0.84,5.8,6.92,9693600,158700000,337670000,93794000,0.0010736,0.0001585
21.12,17.87,23.75,0.5,4.67,2.74,4063200,82421000,69169000,46751000,0.00023234,6.21E-05
19.41,5.24,11.12,0.05,6.46,4.48,21166000,294000000,774550000,172730000,0.0029676,0.00032423
33.73,14.11,23.19,0.64,2.75,5.25,2546000,69362000,53653000,40245000,0.00015306,5.11E-05
35.16,12.35,4,0.43,0.68,8.58,11997000,189200000,698900000,111750000,0.0024006,0.00031242
24.04,18.26,17.62,0.77,9.46,1.86,7705400,94840000,116150000,53710000,0.00039393,7.52E-05
24.74,10.55,20.74,0.91,8.35,3.75,5781900,98064000,115910000,56439000,0.00035417,7.28E-05
38.57,16.37,7.13,0.27,2.15,6.69,9107700,179050000,372100000,106840000,0.0010492,0.00018566
27.59,7.34,13.8,0.54,3.81,9.64,9491100,184710000,331570000,110810000,0.001043,0.00016564
16.76,15.82,1.76,0.14,5.11,0.09,60440000,249940000,1510300000,131520000,0.0086594,0.00058903
